epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
55	scene 1	2.4300	0.5650	0.5650	0.6600	0.5720	0.5930	0.6240
55	scene 2	2.4300	0.6440	0.5350	0.5150	0.6330	0.6540	0.6700
55	scene 3	2.4300	0.6530	0.5410	0.5410	0.6520	0.6680	0.6780
55	scene 4	2.4300	0.6250	0.5720	0.5650	0.6250	0.6400	0.6400
56	total scene	2.4500	0.7120	0.5790	0.6130	0.7180	0.7180	0.7210
56	scene 1	2.4260	0.5740	0.5830	0.2980	0.5910	0.6040	0.6360
56	scene 2	2.4260	0.6480	0.5310	0.5700	0.6360	0.6570	0.6710
56	scene 3	2.4260	0.6520	0.5410	0.5220	0.6560	0.6680	0.6710
56	scene 4	2.4260	0.6280	0.5430	0.6290	0.6250	0.6380	0.6380
57	total scene	2.4370	0.7160	0.5770	0.5930	0.7210	0.7220	0.7270
57	scene 1	2.4260	0.5600	0.5370	0.5200	0.5680	0.5820	0.6110
57	scene 2	2.4260	0.6530	0.5280	0.5390	0.6400	0.6620	0.6780
57	scene 3	2.4260	0.6660	0.5170	0.5040	0.6650	0.6770	0.6900
57	scene 4	2.4260	0.6310	0.5690	0.6810	0.6300	0.6450	0.6450
58	total scene	2.4400	0.7140	0.5850	0.6060	0.7200	0.7210	0.7260
58	scene 1	2.4240	0.5660	0.5720	0.2950	0.5680	0.5830	0.6100
58	scene 2	2.4240	0.6510	0.5380	0.5600	0.6390	0.6610	0.6760
58	scene 3	2.4240	0.6610	0.5410	0.5020	0.6600	0.6720	0.6820
58	scene 4	2.4240	0.6260	0.5470	0.6620	0.6230	0.6400	0.6400
59	total scene	2.4440	0.7160	0.5810	0.5820	0.7210	0.7230	0.7280
59	scene 1	2.4220	0.5650	0.5120	0.8840	0.5660	0.5810	0.6030
59	scene 2	2.4220	0.6530	0.5330	0.5400	0.6410	0.6630	0.6790
59	scene 3	2.4220	0.6580	0.5390	0.4340	0.6640	0.6790	0.6940
59	scene 4	2.4220	0.6360	0.5580	0.5960	0.6330	0.6490	0.6490
60	total scene	2.4350	0.7160	0.5830	0.5930	0.7220	0.7220	0.7270
60	scene 1	2.4180	0.5700	0.5310	0.6580	0.5830	0.6000	0.6220
60	scene 2	2.4180	0.6540	0.5370	0.5500	0.6420	0.6620	0.6780
60	scene 3	2.4180	0.6680	0.5300	0.4650	0.6680	0.6820	0.6860
60	scene 4	2.4180	0.6300	0.5520	0.5780	0.6250	0.6430	0.6430
61	total scene	2.4420	0.7150	0.5860	0.6360	0.7210	0.7210	0.7260
61	scene 1	2.4180	0.5650	0.4790	0.3950	0.5720	0.5870	0.6210
61	scene 2	2.4180	0.6520	0.5390	0.5790	0.6400	0.6610	0.6770
61	scene 3	2.4180	0.6620	0.5340	0.6430	0.6620	0.6760	0.6860
61	scene 4	2.4180	0.6340	0.5790	0.7540	0.6320	0.6450	0.6450
62	total scene	2.4290	0.7180	0.5900	0.6100	0.7230	0.7240	0.7300
62	scene 1	2.4140	0.5740	0.6110	0.4580	0.5760	0.5880	0.6180
62	scene 2	2.4140	0.6550	0.5400	0.5650	0.6420	0.6640	0.6810
62	scene 3	2.4140	0.6770	0.5730	0.5080	0.6760	0.6890	0.6980
62	scene 4	2.4140	0.6390	0.5840	0.6270	0.6340	0.6510	0.6510
63	total scene	2.4300	0.7180	0.5870	0.6110	0.7230	0.7240	0.7290
63	scene 1	2.4130	0.5690	0.5540	0.7070	0.5850	0.6030	0.6350
63	scene 2	2.4130	0.6550	0.5410	0.5830	0.6420	0.6640	0.6790
63	scene 3	2.4130	0.6670	0.5360	0.4200	0.6630	0.6840	0.6940
63	scene 4	2.4130	0.6360	0.5650	0.5630	0.6330	0.6480	0.6480
64	total scene	2.4240	0.7200	0.5840	0.5890	0.7250	0.7270	0.7320
64	scene 1	2.4110	0.5790	0.5160	0.4070	0.5850	0.6070	0.6440
64	scene 2	2.4110	0.6580	0.5380	0.5470	0.6450	0.6680	0.6830
64	scene 3	2.4110	0.6690	0.5200	0.4590	0.6710	0.6880	0.6930
64	scene 4	2.4110	0.6450	0.5540	0.5970	0.6390	0.6540	0.6540
65	total scene	2.4240	0.7200	0.5870	0.6010	0.7260	0.7270	0.7320
65	scene 1	2.4060	0.5740	0.5480	0.0740	0.5900	0.6070	0.6340
65	scene 2	2.4060	0.6580	0.5410	0.5550	0.6460	0.6670	0.6820
65	scene 3	2.4060	0.6770	0.5400	0.4890	0.6770	0.6880	0.6930
65	scene 4	2.4060	0.6430	0.5600	0.6690	0.6440	0.6580	0.6580
66	total scene	2.4360	0.7200	0.5920	0.6200	0.7240	0.7270	0.7310
